trip_id,bus_id,route_id,stop_id,stop_name,arrival_time_scheduled,arrival_time_actual,departure_time_scheduled,departure_time_actual,passenger_count_boarding,passenger_count_alighting,day_of_week,date,weather_condition
TRIP_1,MH-BUS-8,MUM_Route_B,STOP_6,Thane,21:07:47,21:18:47,13:26:20,13:31:20,25.0,0.0,Sunday,2024-07-11,Partly Cloudy
TRIP_2,MH-BUS-3,MUM_Route_A,STOP_9,Dadar,02:26:49,02:24:49,12:59:58,12:59:58,56.0,14.0,Friday,2024-08-30,Rainy
TRIP_3,MH-BUS-1,MUM_Route_A,STOP_9,Andheri,07:14:42,07:30:42,07:21:31,07:24:31,25.0,41.0,Friday,2024-06-01,Cloudy
TRIP_4,MH-BUS-2,MUM_Route_A,STOP_8,Thane,02:41:29,02:59:29,22:03:48,22:10:48,-5.0,24.0,Wednesday,2024-06-10,monsoon
TRIP_5,MH-BUS-9,MUM_Route_E,STOP_2,Vashi,05:00:16,05:09:16,02:17:59,02:17:59,22.0,23.0,Saturday,2024-08-07,Partly Cloudy
TRIP_6,MH-BUS-5,MUM_Route_A,STOP_9,CST,23:37:10,,03:11:53,03:19:53,29.0,21.0,Saturday,2024-07-06,CLOUDY
TRIP_7,MH-BUS-8,MUM_Route_D,STOP_15,Andheri,11:20:46,11:23:46,02:29:10,02:33:10,38.0,34.0,Thursday,2024-06-21,Monsoon
TRIP_8,MH-BUS-4,MUM_Route_E,STOP_4,Bandra,00:50:56,00:47:56,05:22:26,05:24:26,,14.0,Friday,2024-07-30,Cloudy
TRIP_9,MH-BUS-6,MUM_Route_A,STOP_2,Nerul,15:07:43,15:14:43,19:41:53,19:47:53,26.0,10.0,Tuesday,2024-06-06,Humid
TRIP_10,MH-BUS-3,MUM_Route_A,STOP_7,Lower Parel,10:24:44,,16:45:40,16:51:40,19.0,36.0,Tuesday,2024-08-02,Cloudy
TRIP_11,MH-BUS-2,MUM_Route_C,STOP_19,Mulund,10:42:01,10:45:01,23:55:37,23:56:37,62.0,13.0,Saturday,2024-08-22,Cloudy
TRIP_12,MH-BUS-9,MUM_Route_E,STOP_7,Andheri,20:00:34,19:59:34,08:33:35,08:39:35,,0.0,Friday,2024-06-10,Cloudy
TRIP_13,MH-BUS-5,MUM_Route_B,STOP_20,Churchgate,04:19:01,,20:29:09,20:29:09,17.0,35.0,Monday,2024-06-10,
TRIP_14,MH-BUS-9,MUM_Route_B,STOP_20,Kurla,21:37:13,21:42:13,07:00:39,07:02:39,33.0,0.0,Monday,2024-08-30,Partly Cloudy
TRIP_15,MH-BUS-8,MUM_Route_E,STOP_7,CST,00:26:39,00:39:39,17:20:29,17:29:29,3.0,23.0,Saturday,2024-08-14,Humid
TRIP_16,MH-BUS-2,MUM_Route_A,STOP_3,Vashi,13:58:58,14:17:58,16:05:38,16:11:38,22.0,19.0,Sunday,2024-06-25,Rainy
TRIP_17,MH-BUS-8,MUM_Route_B,STOP_19,Panvel,13:54:54,13:58:54,22:22:31,22:23:31,46.0,40.0,Wednesday,2024-06-07,Rainy
TRIP_18,MH-BUS-7,MUM_Route_A,STOP_5,Colaba,03:48:44,03:53:44,08:54:28,09:00:28,30.0,28.0,Monday,2024-06-19,Partly Cloudy
TRIP_19,MH-BUS-10,MUM_Route_A,STOP_7,Borivali,03:25:55,03:43:55,11:15:56,11:22:56,0.0,11.0,Sunday,2024-06-06,Rainy
TRIP_20,MH-BUS-2,MUM_Route_C,STOP_1,Panvel,19:07:54,19:04:54,00:01:15,00:06:15,66.0,30.0,Wednesday,2024-08-11,Cloudy
TRIP_21,MH-BUS-2,MUM_Route_D,STOP_20,Vashi,09:07:45,09:14:45,09:56:58,10:01:58,29.0,5.0,Thursday,2024-07-30,Cloudy
TRIP_22,MH-BUS-5,MUM_Route_D,STOP_7,Nerul,21:17:28,21:17:28,13:12:32,13:16:32,39.0,0.0,Friday,2024-08-07,Humid
TRIP_23,MH-BUS-5,MUM_Route_C,STOP_5,Mulund,11:08:21,11:18:21,08:07:01,08:17:01,47.0,18.0,Sunday,2024-08-23,Rainy
TRIP_24,MH-BUS-7,MUM_Route_B,STOP_8,Dadar,08:33:40,08:30:40,00:26:41,00:29:41,,12.0,Friday,2024-07-24,Rainy
TRIP_25,MH-BUS-6,MUM_Route_E,STOP_3,Thane,16:17:28,16:29:28,05:11:08,05:14:08,35.0,0.0,Sunday,2024-08-24,Humid
TRIP_26,MH-BUS-10,MUM_Route_B,STOP_3,Andheri,09:31:02,09:34:02,23:23:50,23:31:50,7.0,29.0,Tuesday,2024-07-08,Cloudy
TRIP_27,MH-BUS-4,MUM_Route_A,STOP_5,Churchgate,06:26:44,06:39:44,04:24:30,04:34:30,35.0,38.0,Friday,2024-07-03,Sunny
TRIP_28,MH-BUS-7,MUM_Route_D,STOP_5,Churchgate,12:10:58,12:27:58,03:30:04,033404,27.0,31.0,Friday,2024-08-18,Sunny
TRIP_29,MH-BUS-3,MUM_Route_D,STOP_17,Ghatkopar,06:59:05,07:18:05,07:46:46,07:46:46,30.0,,Friday,2024-06-24,Humid
TRIP_30,MH-BUS-10,MUM_Route_C,STOP_7,Panvel,09:53:02,09:54:02,17:33:58,17:37:58,43.0,19.0,Saturday,2024-07-29,Cloudy
TRIP_31,MH-BUS-9,MUM_Route_C,STOP_19,Vashi,07:27:20,07:32:20,12:34:00,12:38:00,14.0,25.0,Saturday,2024-06-26,Humid
TRIP_32,MH-BUS-3,MUM_Route_C,STOP_14,Chembur,23:46:52,23:52:52,23:20:23,23:29:23,28.0,4.0,Monday,2024-07-27,Sunny
TRIP_33,MH-BUS-9,MUM_Route_D,STOP_5,Kurla,09:23:32,09:37:32,04:19:22,04:25:22,37.0,0.0,Thursday,2024-07-26,Monsoon
TRIP_34,MH-BUS-9,MUM_Route_E,STOP_11,Bandra,00:23:50,00:38:50,00:24:14,00:32:14,46.0,38.0,Sunday,2024-06-10,
TRIP_35,MH-BUS-1,MUM_Route_B,STOP_14,Powai,17:41:51,17:36:51,08:22:41,08:24:41,0.0,8.0,Thursday,2024-07-01,Monsoon
TRIP_36,MH-BUS-1,MUM_Route_C,STOP_9,Mulund,09:45:55,09:57:55,18:42:35,18:46:35,21.0,5.0,Wednesday,2024-07-07,Monsoon
TRIP_37,MH-BUS-3,MUM_Route_B,STOP_10,Thane,05:44:56,05:59:56,01:38:34,01:41:34,6.0,42.0,Sunday,2024-08-25,
TRIP_38,MH-BUS-8,MUM_Route_A,STOP_5,Kharghar,16:41:18,16:36:18,00:09:27,00:12:27,5.0,31.0,Tuesday,2024-07-25,Humid
TRIP_39,MH-BUS-5,MUM_Route_D,STOP_10,Panvel,01:12:34,01:16:34,18:18:19,18:18:19,7.0,37.0,Wednesday,2024-07-27,Sunny
TRIP_40,MH-BUS-9,MUM_Route_B,STOP_19,Dadar,20:18:12,08:13:12PM,03:42:03,03:51:03,35.0,,Sunday,2024-07-18,Partly Cloudy
TRIP_41,MH-BUS-3,MUM_Route_B,STOP_8,Andheri,19:09:50,19:13:50,12:56:24,12:59:24,34.0,44.0,Friday,2024-07-02,Monsoon
